resume,score
"Experienced in pandas, machine learning, python.",0.75
"Experienced in machine learning, flask, teamwork, python.",0.75
"Experienced in django, excel, teamwork, pandas.",0.25
"Experienced in flask, pandas, communication, excel, django, machine learning, sql.",0.75
"Experienced in communication, pandas, machine learning, sql, django, python, tensorflow.",0.75
"Experienced in teamwork, tensorflow, flask, pandas, excel, python.",0.75
"Experienced in excel, python, communication.",0.25
"Experienced in django, excel, python, sql.",0.25
"Experienced in tensorflow, python, machine learning, flask.",0.75
"Experienced in sql, excel, teamwork, machine learning, python, flask.",0.75
"Experienced in excel, communication, teamwork, machine learning, python, flask.",0.75
"Experienced in pandas, flask, tensorflow.",0.5
"Experienced in sql, teamwork, communication, django, machine learning, python.",0.5
"Experienced in machine learning, communication, excel, django, teamwork, sql, python.",0.5
"Experienced in tensorflow, sql, pandas.",0.25
"Experienced in communication, pandas, excel, flask.",0.5
"Experienced in tensorflow, teamwork, django, machine learning, sql.",0.25
"Experienced in communication, django, teamwork, flask, python, machine learning.",0.75
"Experienced in flask, excel, communication.",0.25
"Experienced in sql, machine learning, excel, teamwork.",0.25
"Experienced in flask, communication, python.",0.5
"Experienced in teamwork, tensorflow, communication, django, pandas, flask, excel.",0.5
"Experienced in communication, django, python, flask, tensorflow, teamwork, excel.",0.5
"Experienced in communication, django, teamwork, sql, excel, pandas, python.",0.5
"Experienced in tensorflow, pandas, python.",0.5
"Experienced in teamwork, pandas, tensorflow, flask, machine learning, sql.",0.75
"Experienced in sql, tensorflow, excel, pandas, flask, teamwork.",0.5
"Experienced in tensorflow, teamwork, django, flask, python.",0.5
"Experienced in excel, django, machine learning, python, teamwork.",0.5
"Experienced in flask, sql, pandas, excel, tensorflow, communication.",0.5
"Experienced in machine learning, excel, flask, tensorflow, teamwork, pandas.",0.75
"Experienced in django, excel, communication, flask, pandas, machine learning.",0.75
"Experienced in pandas, python, teamwork, excel, communication.",0.5
"Experienced in python, communication, flask, excel, machine learning, pandas, sql.",1.0
"Experienced in excel, flask, sql, communication, python, pandas, teamwork.",0.75
"Experienced in pandas, django, machine learning, flask, teamwork, tensorflow, sql.",0.75
"Experienced in python, django, sql, machine learning, communication.",0.5
"Experienced in teamwork, machine learning, python, pandas.",0.75
"Experienced in communication, tensorflow, machine learning.",0.25
"Experienced in teamwork, pandas, communication, python, excel, tensorflow, flask.",0.75
"Experienced in django, tensorflow, communication, teamwork, python.",0.25
"Experienced in python, pandas, communication, flask, sql, tensorflow, teamwork.",0.75
"Experienced in flask, excel, teamwork, python, pandas, tensorflow.",0.75
"Experienced in pandas, flask, teamwork, tensorflow.",0.5
"Experienced in machine learning, python, pandas, communication.",0.75
"Experienced in teamwork, flask, communication, python, machine learning.",0.75
"Experienced in teamwork, sql, machine learning, pandas, django, tensorflow.",0.5
"Experienced in django, sql, pandas, tensorflow, python, machine learning, teamwork.",0.75
"Experienced in python, tensorflow, sql, pandas, excel.",0.5
"Experienced in python, excel, flask, machine learning, django, sql, teamwork.",0.75
"Experienced in python, teamwork, excel, pandas, machine learning.",0.75
